Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%
2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%
3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%
6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%
9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%
10,Jumanji: The Next Level,"$800,059,707","$320,314,960",40%,"$479,744,747",60%
11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%
12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%
13,The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%
16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%
17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%
18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%
19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%
20,The Captain,"$416,953,262","$706,572",0.2%,"$416,246,690",99.8%
21,Alita: Battle Angel,"$404,852,543","$85,710,210",21.2%,"$319,142,333",78.8%
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%
23,1917,"$384,792,488","$159,227,644",41.4%,"$225,564,844",58.6%
24,Once Upon a Time... In Hollywood,"$374,343,626","$142,502,728",38.1%,"$231,840,898",61.9%
25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%
26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%
27,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",52.3%,"$155,694,040",47.7%
28,Knives Out,"$311,390,805","$165,363,234",53.1%,"$146,027,571",46.9%
29,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%
30,Parasite,"$257,503,044","$53,369,749",20.7%,"$204,133,295",79.3%
31,Us,"$255,184,580","$175,084,580",68.6%,"$80,100,000",31.4%
32,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%
33,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%
34,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%
35,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%
36,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%
37,Better Days,"$225,820,914","$1,921,657",0.9%,"$223,899,257",99.1%
38,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%
39,Little Women,"$216,601,214","$108,101,214",49.9%,"$108,500,000",50.1%
40,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%
41,Rocketman,"$195,179,299","$96,368,160",49.4%,"$98,811,139",50.6%
42,Downton Abbey,"$193,820,755","$96,854,135",50%,"$96,966,620",50%
43,Weathering with You,"$193,186,879","$7,798,743",4%,"$185,388,136",96%
44,The LEGO Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%
45,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%
46,Abominable,"$179,057,149","$60,716,390",33.9%,"$118,340,759",66.1%
47,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%
48,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%
49,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%
50,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%
51,The Climbers,"$156,892,866","$487,157",0.3%,"$156,405,709",99.7%
52,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%
53,Yesterday,"$153,178,301","$73,286,650",47.8%,"$79,891,651",52.2%
54,The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%
55,Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%
56,Ad Astra,"$127,461,872","$50,188,370",39.4%,"$77,273,502",60.6%
57,Midway,"$126,696,475","$56,846,802",44.9%,"$69,849,673",55.1%
58,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%
59,The Curse of La Llorona,"$123,133,739","$54,733,739",44.5%,"$68,400,000",55.5%
60,Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%
61,Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%
62,Last Christmas,"$121,550,750","$35,150,750",28.9%,"$86,400,000",71.1%
63,Extreme Job,"$119,932,733","$1,565,885",1.3%,"$118,366,848",98.7%
64,Dora and the Lost City of Gold,"$119,682,635","$60,477,943",50.5%,"$59,204,692",49.5%
65,Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%
66,P Storm,"$117,991,727","$326,711",0.3%,"$117,665,016",99.7%
67,The Gentlemen,"$115,171,795","$36,471,795",31.7%,"$78,700,000",68.3%
68,Pet Sematary,"$113,118,226","$54,724,696",48.4%,"$58,393,530",51.6%
69,Good Boys,"$111,037,232","$83,140,306",74.9%,"$27,896,926",25.1%
70,Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",65.9%,"$35,598,430",34.1%
71,Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.3%,"$99,185,276",99.7%
72,The Hustle,"$95,017,038","$35,417,038",37.3%,"$59,600,000",62.7%
73,Crawl,"$91,542,097","$39,014,193",42.6%,"$52,527,904",57.4%
74,Five Feet Apart,"$91,522,094","$45,729,221",50%,"$45,792,873",50%
75,Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%
76,Jojo Rabbit,"$90,335,025","$33,370,906",36.9%,"$56,964,119",63.1%
77,One Piece: Stampede,"$81,562,741","$1,298,528",1.6%,"$80,264,213",98.4%
78,A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%
79,Cold Pursuit,"$76,419,755","$32,138,862",42.1%,"$44,280,893",57.9%
80,A Dog's Journey,"$75,727,748","$22,782,371",30.1%,"$52,945,377",69.9%
81,Tyler Perry's a Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%
82,Cats,"$73,834,284","$27,166,770",36.8%,"$46,667,514",63.2%
83,Charlie's Angels,"$73,279,888","$17,803,077",24.3%,"$55,476,811",75.7%
84,Doctor Sleep,"$72,381,712","$31,581,712",43.6%,"$40,800,000",56.4%
85,What Men Want,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%
86,After,"$69,746,452","$12,138,565",17.4%,"$57,607,887",82.6%
87,Exit,"$69,501,772","$470,699",0.7%,"$69,031,073",99.3%
88,Playing with Fire,"$68,631,669","$44,451,847",64.8%,"$24,179,822",35.2%
89,A Beautiful Day in the Neighborhood,"$67,760,877","$61,704,055",91.1%,"$6,056,822",8.9%
90,War,"$67,179,155","$4,654,000",6.9%,"$62,525,155",93.1%
91,Happy Death Day 2U,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%
92,White Snake,"$61,631,776","$34,730",<0.1%,"$61,597,046",99.9%
93,Ashfall,"$61,255,955","$372,562",0.6%,"$60,883,393",99.4%
94,Ma,"$61,105,672","$45,896,028",75.1%,"$15,209,644",24.9%
95,Bombshell,"$59,636,523","$31,762,808",53.3%,"$27,873,715",46.7%
96,Ready or Not,"$57,615,777","$28,714,231",49.8%,"$28,901,546",50.2%
97,Long Shot,"$53,873,809","$30,316,271",56.3%,"$23,557,538",43.7%
98,Breakthrough,"$50,444,358","$40,713,082",80.7%,"$9,731,276",19.3%
99,Just Mercy,"$50,401,502","$36,001,502",71.4%,"$14,400,000",28.6%
100,Uncut Gems,"$50,023,780","$50,023,780",100%,-,-
101,21 Bridges,"$49,939,757","$28,539,757",57.1%,"$21,400,000",42.9%
102,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%
103,Little,"$48,987,096","$40,860,481",83.4%,"$8,126,615",16.6%
104,Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-
105,Countdown,"$48,021,766","$25,621,766",53.4%,"$22,400,000",46.6%
106,Midsommar: The Directors Cut,"$47,863,365","$27,426,361",57.3%,"$20,437,004",42.7%
107,Queen & Slim,"$47,802,566","$43,808,310",91.6%,"$3,994,256",8.4%
108,47 Meters Down: Uncaged,"$47,582,563","$22,260,900",46.8%,"$25,321,663",53.2%
109,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.4%,"$45,536,722",99.6%
110,Child's Play,"$44,902,237","$29,208,403",65%,"$15,693,834",35%
111,Hellboy,"$44,664,690","$21,903,748",49%,"$22,760,942",51%
112,Richard Jewell,"$43,745,542","$22,345,542",51.1%,"$21,400,000",48.9%
113,Judy,"$43,660,268","$24,313,888",55.7%,"$19,346,380",44.3%
114,Harriet,"$43,347,017","$43,082,155",99.4%,"$264,862",0.6%
115,Fighting with My Family,"$40,811,919","$22,958,886",56.3%,"$17,853,033",43.7%
116,Uri: The Surgical Strike,"$39,346,577","$4,186,168",10.6%,"$35,160,409",89.4%
117,Overcomer,"$38,026,103","$34,746,945",91.4%,"$3,279,158",8.6%
118,Pain and Glory,"$37,359,689","$4,567,338",12.2%,"$32,792,351",87.8%
119,The Intruder,"$36,599,361","$35,419,122",96.8%,"$1,180,239",3.2%
120,The Bad Guys: The Movie,"$34,024,386","$166,972",0.5%,"$33,857,414",99.5%
121,The Good Liar,"$33,856,058","$17,156,058",50.7%,"$16,700,000",49.3%
122,The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.2%,"$7,371,145",21.8%
123,Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%
124,Brightburn,"$32,893,421","$17,300,439",52.6%,"$15,592,982",47.4%
125,UglyDolls,"$32,450,241","$20,150,241",62.1%,"$12,300,000",37.9%
126,Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%
127,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%
128,Anna,"$31,626,978","$7,743,794",24.5%,"$23,883,184",75.5%
129,My Dear Liar,"$31,177,968","$90,545",0.3%,"$31,087,423",99.7%
130,The Wild Goose Lake,"$31,042,413","$12,573",<0.1%,"$31,029,840",100%
131,My Hero Academia: Heroes Rising,"$29,187,012","$13,304,000",45.6%,"$15,883,012",54.4%
132,Gully Boy,"$28,141,995","$5,566,534",19.8%,"$22,575,461",80.2%
133,Total Dhamaal,"$26,911,995","$2,167,632",8.1%,"$24,744,363",91.9%
134,Missing Link,"$26,565,710","$16,649,539",62.7%,"$9,916,171",37.3%
135,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%
136,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.8%,"$25,558,877",99.2%
137,Booksmart,"$24,863,452","$22,680,962",91.2%,"$2,182,490",8.8%
138,Super 30,"$24,701,637","$2,269,878",9.2%,"$22,431,759",90.8%
139,The Peanut Butter Falcon,"$23,728,475","$20,457,151",86.2%,"$3,271,324",13.8%
140,Only Cloud Knows,"$23,410,836",-,-,"$23,410,836",100%
141,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%
142,The Farewell,"$22,671,661","$17,695,781",78.1%,"$4,975,880",21.9%
143,Late Night,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%
144,Dark Waters,"$22,270,399","$11,136,084",50%,"$11,134,315",50%
145,The Star 2019 Re-release,"$21,502,695","$43,510",0.2%,"$21,459,185",99.8%
146,Shaft,"$21,360,215","$21,360,215",100%,-,-
147,Hotel Mumbai,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%
148,Unplanned,"$21,171,090","$19,005,109",89.8%,"$2,165,981",10.2%
149,Always Miss You,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%
150,Greta,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%
151,Peppa Celebrates Chinese New Year,"$18,653,040","$131,225",0.7%,"$18,521,815",99.3%
152,Black Christmas,"$18,529,730","$10,429,730",56.3%,"$8,100,000",43.7%
153,Motherless Brooklyn,"$18,477,736","$9,277,736",50.2%,"$9,200,000",49.8%
154,The Lighthouse,"$18,113,964","$10,867,104",60%,"$7,246,860",40%
155,Blinded by the Light,"$18,096,691","$11,901,145",65.8%,"$6,195,546",34.2%
156,Kalank,"$17,987,034","$2,729,336",15.2%,"$15,257,698",84.8%
157,Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864","$420,595",2.4%,"$16,875,269",97.6%
158,Nothing to Lose 2,"$16,610,713","$1,150,551",6.9%,"$15,460,162",93.1%
159,Tazza: One-Eyed Jack,"$16,572,611","$97,655",0.6%,"$16,474,956",99.4%
160,Poms,"$16,418,218","$13,631,124",83%,"$2,787,094",17%
161,Little Q,"$16,360,233","$1,652",<0.1%,"$16,358,581",100%
162,Playmobil: The Movie,"$16,349,303","$1,115,008",6.8%,"$15,234,295",93.2%
163,The Kitchen,"$15,980,032","$12,180,032",76.2%,"$3,800,000",23.8%
164,The Divine Move 2: The Wrathful,"$15,642,991","$67,578",0.4%,"$15,575,413",99.6%
165,Miss Bala,"$15,383,580","$15,006,824",97.6%,"$376,756",2.4%
166,Apollo 11,"$15,342,353","$9,039,891",58.9%,"$6,302,462",41.1%
167,The Dead Don't Die,"$15,322,395","$6,563,605",42.8%,"$8,758,790",57.2%
168,Dabangg 3,"$14,784,628","$202,000",1.4%,"$14,582,628",98.6%
169,Serenity,"$14,454,622","$8,547,045",59.1%,"$5,907,577",40.9%
170,La Belle Époque,"$14,223,716",-,-,"$14,223,716",100%
171,The Current War: Director's Cut,"$12,217,160","$5,979,540",48.9%,"$6,237,620",51.1%
172,Miss & Mrs. Cops,"$12,147,170","$104,578",0.9%,"$12,042,592",99.1%
173,The Divine Fury,"$11,799,556","$102,982",0.9%,"$11,696,574",99.1%
174,Bring the Soul: The Movie,"$11,641,119","$4,809,800",41.3%,"$6,831,319",58.7%
175,Gloria Bell,"$11,145,006","$5,611,123",50.3%,"$5,533,883",49.7%
176,"Where'd You Go, Bernadette","$10,834,213","$9,198,356",84.9%,"$1,635,857",15.1%
177,The Best of Enemies,"$10,209,813","$10,205,616",100%,"$4,197",<0.1%
178,BTS World Tour: Love Yourself in Seoul,"$10,195,760","$3,509,917",34.4%,"$6,685,843",65.6%
179,The Goldfinch,"$9,932,621","$5,332,621",53.7%,"$4,600,000",46.3%
180,Portrait of a Lady on Fire,"$9,919,850","$3,759,854",37.9%,"$6,159,996",62.1%
181,Arctic Dogs,"$9,877,855","$5,801,249",58.7%,"$4,076,606",41.3%
182,Tod@s Caen,"$9,667,157","$2,670,925",27.6%,"$6,996,232",72.4%
183,Official Secrets,"$9,473,603","$1,988,546",21%,"$7,485,057",79%
184,Promare,"$9,467,336","$2,313,596",24.4%,"$7,153,740",75.6%
185,Jexi,"$9,341,824","$6,546,159",70.1%,"$2,795,665",29.9%
186,The Aftermath,"$9,215,591","$1,618,497",17.6%,"$7,597,094",82.4%
187,Tolkien,"$9,090,040","$4,535,154",49.9%,"$4,554,886",50.1%
188,Captive State,"$8,808,611","$5,958,315",67.6%,"$2,850,296",32.4%
189,The Traitor,"$8,780,535","$296,027",3.4%,"$8,484,508",96.6%
190,Sorry We Missed You,"$8,768,505","$28,273",0.3%,"$8,740,232",99.7%
191,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612","$522,805",6%,"$8,192,807",94%
192,Mardaani 2,"$8,680,109",-,-,"$8,680,109",100%
193,Corpus Christi,"$8,677,738","$127,240",1.5%,"$8,550,498",98.5%
194,Pavarotti,"$7,885,016","$4,600,249",58.3%,"$3,284,767",41.7%
195,The Battle of Jangsari,"$7,883,200","$70,853",0.9%,"$7,812,347",99.1%
196,By the Grace of God,"$7,755,652","$67,059",0.9%,"$7,688,593",99.1%
197,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048","$34,135",0.4%,"$7,698,913",99.6%
198,Penguins,"$7,699,452","$7,699,452",100%,-,-
199,The White Crow,"$7,622,595","$1,828,784",24%,"$5,793,811",76%
200,The Whistleblower,"$7,505,141","$280,851",3.7%,"$7,224,290",96.3%
201,Brittany Runs a Marathon,"$7,442,106","$7,189,808",96.6%,"$252,298",3.4%
202,Mayday Life,"$7,435,496","$85,912",1.2%,"$7,349,584",98.8%
203,Wild Rose,"$7,123,449","$1,635,117",23%,"$5,488,332",77%
204,The Sun Is also a Star,"$6,750,029","$4,950,029",73.3%,"$1,800,000",26.7%
205,Pati Patni Aur Woh,"$6,712,525","$874,044",13%,"$5,838,481",87%
206,National Theatre Live: Fleabag,"$6,508,794","$326,283",5%,"$6,182,511",95%
207,Run the Race,"$6,424,420","$6,424,420",100%,-,-
208,The Mustang,"$6,405,816","$5,043,620",78.7%,"$1,362,196",21.3%
209,Immortal Hero,"$6,180,032","$43,007",0.7%,"$6,137,025",99.3%
210,"Cyrano, My Love","$5,985,822","$351,019",5.9%,"$5,634,803",94.1%
211,Blue Story,"$5,881,391",-,-,"$5,881,391",100%
212,Furie,"$5,756,185","$594,788",10.3%,"$5,161,397",89.7%
213,Saaho,"$5,708,522","$2,872,057",50.3%,"$2,836,465",49.7%
214,Mission Mangal,"$5,667,057","$3,659,413",64.6%,"$2,007,644",35.4%
215,Pagalpanti,"$5,633,633","$423,340",7.5%,"$5,210,293",92.5%
216,Don't Let Go,"$5,288,011","$5,215,062",98.6%,"$72,949",1.4%
217,Les Misérables: The Staged Concert,"$5,257,431","$459,478",8.7%,"$4,797,953",91.3%
218,The Truth,"$5,252,668","$9,619",0.2%,"$5,243,049",99.8%
219,The Biggest Little Farm,"$5,248,412","$4,366,949",83.2%,"$881,463",16.8%
220,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$5,078,942","$1,134,786",22.3%,"$3,944,156",77.7%
221,The Professor and the Madman,"$4,957,273",-,-,"$4,957,273",100%
222,Menteur,"$4,697,364","$4,697,364",100%,-,-
223,Jay and Silent Bob Reboot,"$4,691,248","$4,589,490",97.8%,"$101,758",2.2%
224,Housefull 4,"$4,634,173","$2,109,160",45.5%,"$2,525,013",54.5%
225,The Last Black Man in San Francisco,"$4,607,017","$4,515,719",98%,"$91,298",2%
226,A Hidden Life,"$4,604,834","$1,730,597",37.6%,"$2,874,237",62.4%
227,The Beach Bum,"$4,554,416","$3,502,600",76.9%,"$1,051,816",23.1%
228,Swift,"$4,428,275",-,-,"$4,428,275",100%
229,Brian Banks,"$4,376,819","$4,376,819",100%,-,-
230,Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",100%,-,-
231,Savage,"$4,140,502","$74,491",1.8%,"$4,066,011",98.2%
232,Arctic 2019 Re-release,"$4,124,015","$2,410,795",58.5%,"$1,713,220",41.5%
233,Junglee,"$4,033,587","$295,784",7.3%,"$3,737,803",92.7%
234,Ride Your Wave,"$3,995,885","$332,432",8.3%,"$3,663,453",91.7%
235,Lucifer,"$3,956,978",-,-,"$3,956,978",100%
236,Western Stars,"$3,681,681","$1,581,681",43%,"$2,100,000",57%
237,Badla,"$3,590,894","$1,861,000",51.8%,"$1,729,894",48.2%
238,Bacurau,"$3,541,476","$58,115",1.6%,"$3,483,361",98.4%
239,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550","$3,531,094",99.8%,"$7,456",0.2%
240,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,531,837","$1,182,636",33.5%,"$2,349,201",66.5%
241,Faustina: Love and Mercy,"$3,498,887","$2,243,180",64.1%,"$1,255,707",35.9%
242,Maiden,"$3,495,241","$3,168,978",90.7%,"$326,263",9.3%
243,The Aeronauts,"$3,485,251",-,-,"$3,485,251",100%
244,Midnight Diner,"$3,412,771","$18,555",0.5%,"$3,394,216",99.5%
245,Friends 25th: The One With The Anniversary,"$3,403,406","$2,884,827",84.8%,"$518,579",15.2%
246,Honey Boy,"$3,400,977","$3,012,615",88.6%,"$388,362",11.4%
247,The Hole in the Ground,"$3,373,474","$21,072",0.6%,"$3,352,402",99.4%
248,Echo in the Canyon,"$3,355,324","$3,355,324",100%,-,-
249,Panipat,"$3,349,899","$461,863",13.8%,"$2,888,036",86.2%
250,The Death & Life of John F. Donovan,"$3,326,364","$152,713",4.6%,"$3,173,651",95.4%
251,Chhichhore,"$3,311,391","$2,004,400",60.5%,"$1,306,991",39.5%
252,Marianne & Leonard: Words of Love,"$3,273,573","$1,012,034",30.9%,"$2,261,539",69.1%
253,Pilgrim's Progress,"$3,173,282","$1,294,596",40.8%,"$1,878,686",59.2%
254,All Is True,"$3,019,143","$1,200,481",39.8%,"$1,818,662",60.2%
255,Sibyl,"$2,943,278",-,-,"$2,943,278",100%
256,After the Wedding,"$2,790,019","$1,574,258",56.4%,"$1,215,761",43.6%
257,Children of the Sea,"$2,789,668",-,-,"$2,789,668",100%
258,Kinky Boots the Musical,"$2,761,654","$900,451",32.6%,"$1,861,203",67.4%
259,Diego Maradona,"$2,656,890",-,-,"$2,656,890",100%
260,The Informer,"$2,624,767",-,-,"$2,624,767",100%
261,Metallica & San Francisco Symphony - S&M2,"$2,582,847","$1,252,385",48.5%,"$1,330,462",51.5%
262,Waves,"$2,563,470","$1,658,790",64.7%,"$904,680",35.3%
263,Spirits in the Forest,"$2,531,785","$704,744",27.8%,"$1,827,041",72.2%
264,The Art of Self-Defense,"$2,414,269","$2,410,914",99.9%,"$3,355",0.1%
265,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$2,403,030","$90,341",3.8%,"$2,312,689",96.2%
266,Piranhas,"$2,298,525","$23,494",1%,"$2,275,031",99%
267,3 from Hell,"$2,295,825","$2,172,949",94.6%,"$122,876",5.4%
268,Luce,"$2,268,204","$2,010,613",88.6%,"$257,591",11.4%
269,Gone with the Wind 2019 Re-release,"$2,176,120","$2,176,120",100%,-,-
270,The Wizard of Oz 2019 Re-release,"$2,097,514","$2,076,020",99%,"$21,494",1%
271,42nd Street - The Musical,"$2,022,093","$187,440",9.3%,"$1,834,653",90.7%
272,Luka Chuppi,"$1,923,586","$1,042,905",54.2%,"$880,681",45.8%
273,The Keeper,"$1,916,514",-,-,"$1,916,514",100%
274,Fantastic Fungi,"$1,877,675","$1,788,322",95.2%,"$89,353",4.8%
275,Matthias & Maxime,"$1,863,999","$374,739",20.1%,"$1,489,260",79.9%
276,The Other Side of Heaven 2: Fire of Faith,"$1,807,216","$1,807,216",100%,-,-
277,Polaroid,"$1,772,204",-,-,"$1,772,204",100%
278,Invisible Life,"$1,766,249","$146,535",8.3%,"$1,619,714",91.7%
279,The Souvenir,"$1,719,157","$1,036,737",60.3%,"$682,420",39.7%
280,A Brother's Love,"$1,671,969","$539,524",32.3%,"$1,132,445",67.7%
281,Deerskin,"$1,641,693",-,-,"$1,641,693",100%
282,Student of the Year 2,"$1,635,907","$778,566",47.6%,"$857,341",52.4%
283,Monos,"$1,601,199","$406,473",25.4%,"$1,194,726",74.6%
284,Beanpole,"$1,591,621","$196,258",12.3%,"$1,395,363",87.7%
285,The Crossing,"$1,589,212","$90,896",5.7%,"$1,498,316",94.3%
286,Teen Spirit,"$1,573,601","$441,366",28%,"$1,132,235",72%
287,The Kid,"$1,553,483","$1,508,593",97.1%,"$44,890",2.9%
288,Tel Aviv on Fire,"$1,548,893","$506,145",32.7%,"$1,042,748",67.3%
289,The Chaperone,"$1,541,223","$600,654",39%,"$940,569",61%
290,De De Pyaar De,"$1,473,116","$425,934",28.9%,"$1,047,182",71.1%
291,It 2019 Re-release,"$1,414,696","$1,347,126",95.2%,"$67,570",4.8%
292,El Chicano,"$1,404,646","$1,400,603",99.7%,"$4,043",0.3%
293,For Sama,"$1,397,546","$43,796",3.1%,"$1,353,750",96.9%
294,Light of My Life,"$1,392,898","$20,056",1.4%,"$1,372,842",98.6%
295,National Lampoon's Christmas Vacation 2019 Re-release,"$1,385,620","$1,385,620",100%,-,-
296,Bolshoi Ballet: The Nutcracker,"$1,348,248","$252,935",18.8%,"$1,095,313",81.2%
297,Spirited Away 2019 Re-release,"$1,322,927","$1,322,927",100%,-,-
298,Roger Waters - Us + Them,"$1,294,480","$611,644",47.3%,"$682,836",52.7%
299,No Safe Spaces,"$1,291,514","$1,291,514",100%,-,-
300,Fagara,"$1,265,949","$43,417",3.4%,"$1,222,532",96.6%
301,Batla House,"$1,264,337","$493,180",39%,"$771,157",61%
302,Honeyland,"$1,231,697","$815,082",66.2%,"$416,615",33.8%
303,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552","$1,226,552",100%,-,-
304,Kingdom Men Rising,"$1,188,936","$1,188,936",100%,-,-
305,Los Domirriqueños 2,"$1,187,280","$1,187,280",100%,-,-
306,The Song of Names,"$1,138,962","$1,077,584",94.6%,"$61,378",5.4%
307,My Neighbor Totoro 2019 Re-release,"$1,105,564","$1,105,564",100%,-,-
308,El Coyote,"$1,101,470","$1,101,470",100%,-,-
309,The Goonies 2019 Re-release,"$1,089,463","$864,378",79.3%,"$225,085",20.7%
310,The Sky Is Pink,"$1,088,641","$652,592",59.9%,"$436,049",40.1%
311,Jesus Is King,"$1,082,629","$973,000",89.9%,"$109,629",10.1%
312,Mystify: Michael Hutchence,"$1,082,456","$289,573",26.8%,"$792,883",73.2%
313,Merci pour tout,"$1,073,969","$1,073,969",100%,-,-
314,Bennett's War,"$1,056,416","$1,056,416",100%,-,-
315,Princess Mononoke 2019 Re-release,"$1,046,446","$1,046,446",100%,-,-
316,Noah,"$1,035,603","$1,035,603",100%,-,-
317,Cold Blood,"$1,009,888","$5,083",0.5%,"$1,004,805",99.5%
318,Kiki's Delivery Service 2019 Re-release,"$1,004,057","$1,004,057",100%,-,-
319,Photograph,"$996,171","$344,534",34.6%,"$651,637",65.4%
320,American Masters: Miles Davis: Birth of the Cool,"$984,499","$614,201",62.4%,"$370,298",37.6%
321,The Irishman,"$968,853",-,-,"$968,853",100%
322,Rush: Cinema Strangiato 2019,"$960,073","$960,073",100%,-,-
323,The Fighting Preacher,"$954,641","$954,641",100%,-,-
324,Toni Morrison: The Pieces I Am,"$927,495","$903,018",97.4%,"$24,477",2.6%
325,The Game Changers,"$897,992","$739,711",82.4%,"$158,281",17.6%
326,The Nightingale,"$885,916","$400,209",45.2%,"$485,707",54.8%
327,The Hummingbird Project,"$876,980","$371,784",42.4%,"$505,196",57.6%
328,Between Me and My Mind,"$875,191","$875,191",100%,-,-
329,Howl's Moving Castle 2019 Re-release,"$865,647","$865,647",100%,-,-
330,Steel Magnolias 2019 Re-release,"$855,421","$855,421",100%,-,-
331,Que Leones,"$822,828","$822,828",100%,-,-
332,Joni 75: A Birthday Celebration,"$808,831","$752,205",93%,"$56,626",7%
333,The Whistlers,"$808,743","$55,608",6.9%,"$753,135",93.1%
334,Vita & Virginia,"$793,439","$42,741",5.4%,"$750,698",94.6%
